movie_title,imdb_score,title_year,content_rating,main_genre,director_name,star_cast,genres,duration,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_count,decade,imdb_category,duration_category
Superman II,6.8,1980,PG,Action,Richard Lester,Margot Kidder,"Action, Adventure, Romance, Sci-Fi",116.0,Action,Adventure,Romance,Sci-Fi,,,,,4,1980,Average,Medium
Heavens Gate,6.8,1980,R,Adventure,Michael Cimino,Jeff Bridges,"Adventure, Drama, Western",150.5,Adventure,Drama,Western,,,,,,3,1980,Average,Long
Raise the Titanic,4.7,1980,PG,Action,Jerry Jameson,M. Emmet Walsh,"Action, Adventure, Drama, Thriller",119.0,Action,Adventure,Drama,Thriller,,,,,4,1980,Poor,Medium
Flash Gordon,6.4,1980,PG,Action,Mike Hodges,Brian Blessed,"Action, Adventure, Sci-Fi",111.0,Action,Adventure,Sci-Fi,,,,,,3,1980,Average,Medium
Lion of the Desert,8.4,1980,PG,Biography,Moustapha Akkad,Oliver Reed,"Biography, Drama, History, War",150.5,Biography,Drama,History,War,,,,,4,1980,Excellent,Long
The Blues Brothers,7.9,1980,R,Action,John Landis,John Belushi,"Action, Comedy, Crime, Music",148.0,Action,Comedy,Crime,Music,,,,,4,1980,Good,Long
Star Wars: Episode V - The Empire Strikes Back,8.8,1980,PG,Action,Irvin Kershner,Harrison Ford,"Action, Adventure, Fantasy, Sci-Fi",127.0,Action,Adventure,Fantasy,Sci-Fi,,,,,4,1980,Excellent,Long
Cant Stop the Music,4.5,1980,PG,Biography,Nancy Walker,Steve Guttenberg,"Biography, Comedy, Musical",124.0,Biography,Comedy,Musical,,,,,,3,1980,Poor,Long
The Shining,8.4,1980,R,Drama,Stanley Kubrick,Scatman Crothers,"Drama, Horror",146.0,Drama,Horror,,,,,,,2,1980,Excellent,Long
The Fog,6.8,1980,R,Fantasy,John Carpenter,Jamie Lee Curtis,"Fantasy, Horror",89.0,Fantasy,Horror,,,,,,,2,1980,Average,Short
Raging Bull,8.3,1980,R,Biography,Martin Scorsese,Robert De Niro,"Biography, Drama, Sport",121.0,Biography,Drama,Sport,,,,,,3,1980,Excellent,Long
Private Benjamin,6.1,1980,R,Comedy,Howard Zieff,Eileen Brennan,"Comedy, War",109.0,Comedy,War,,,,,,,2,1980,Average,Medium
Coal Miners Daughter,7.5,1980,PG,Biography,Michael Apted,Sissy Spacek,"Biography, Drama, Music, Musical",124.0,Biography,Drama,Music,Musical,,,,,4,1980,Good,Long
The Long Riders,7.1,1980,R,Western,Walter Hill,Dennis Quaid,Western,100.0,Western,,,,,,,,1,1980,Good,Medium
Dressed to Kill,7.1,1980,X,Mystery,Brian De Palma,Angie Dickinson,"Mystery, Romance, Thriller",104.0,Mystery,Romance,Thriller,,,,,,3,1980,Good,Medium
Ordinary People,7.8,1980,R,Drama,Robert Redford,Adam Baldwin,Drama,124.0,Drama,,,,,,,,1,1980,Good,Long
Caddyshack,7.4,1980,R,Comedy,Harold Ramis,Bill Murray,"Comedy, Sport",98.0,Comedy,Sport,,,,,,,2,1980,Good,Medium
Galaxina,3.4,1980,R,Comedy,William Sachs,Stephen Macht,"Comedy, Sci-Fi",95.0,Comedy,Sci-Fi,,,,,,,2,1980,Poor,Medium
Somewhere in Time,7.3,1980,PG,Drama,Jeannot Szwarc,Teresa Wright,"Drama, Fantasy, Romance",103.0,Drama,Fantasy,Romance,,,,,,3,1980,Good,Medium
The Elephant Man,8.2,1980,PG,Biography,David Lynch,Anthony Hopkins,"Biography, Drama",124.0,Biography,Drama,,,,,,,2,1980,Excellent,Long
Out of the Blue,7.2,1980,R,Drama,Dennis Hopper,Raymond Burr,Drama,94.0,Drama,,,,,,,,1,1980,Good,Medium
The Blue Lagoon,5.7,1980,R,Adventure,Randal Kleiser,Brooke Shields,"Adventure, Drama, Romance",104.0,Adventure,Drama,Romance,,,,,,3,1980,Average,Medium
Airplane!,7.8,1980,PG,Comedy,Jim Abrahams,Peter Graves,Comedy,88.0,Comedy,,,,,,,,1,1980,Good,Short
Inchon,2.7,1981,PG,Drama,Terence Young,Laurence Olivier,"Drama, History, War",140.0,Drama,History,War,,,,,,3,1980,Poor,Long
Reds,7.5,1981,PG,Biography,Warren Beatty,Paul Sorvino,"Biography, Drama, History, Romance",150.5,Biography,Drama,History,Romance,,,,,4,1980,Good,Long
For Your Eyes Only,6.8,1981,PG,Action,John Glen,Julian Glover,"Action, Adventure, Thriller",127.0,Action,Adventure,Thriller,,,,,,3,1980,Average,Long
Raiders of the Lost Ark,8.5,1981,PG,Action,Steven Spielberg,Harrison Ford,"Action, Adventure",115.0,Action,Adventure,,,,,,,2,1980,Excellent,Medium
Under the Rainbow,5.4,1981,PG,Comedy,Steve Rash,Mako,Comedy,98.0,Comedy,,,,,,,,1,1980,Average,Medium
The Legend of the Lone Ranger,5.0,1981,PG,Action,William A. Fraker,Jason Robards,"Action, Adventure, Western",98.0,Action,Adventure,Western,,,,,,3,1980,Poor,Medium
Blow Out,7.4,1981,R,Mystery,Brian De Palma,Nancy Allen,"Mystery, Thriller",107.0,Mystery,Thriller,,,,,,,2,1980,Good,Medium
Dragonslayer,6.7,1981,PG,Action,Matthew Robbins,Ian McDiarmid,"Action, Adventure, Fantasy",108.0,Action,Adventure,Fantasy,,,,,,3,1980,Average,Medium
Roar,6.4,1981,PG,Adventure,Noel Marshall,Tippi Hedren,"Adventure, Horror, Thriller",102.0,Adventure,Horror,Thriller,,,,,,3,1980,Average,Medium
Quest for Fire,7.4,1981,R,Adventure,Jean-Jacques Annaud,Rae Dawn Chong,"Adventure, Drama, History",100.0,Adventure,Drama,History,,,,,,3,1980,Good,Medium
Time Bandits,7.0,1981,PG,Adventure,Terry Gilliam,Shelley Duvall,"Adventure, Comedy, Fantasy, Sci-Fi",103.0,Adventure,Comedy,Fantasy,Sci-Fi,,,,,4,1980,Average,Medium
The Postman Always Rings Twice,6.6,1981,R,Crime,Bob Rafelson,Anjelica Huston,"Crime, Drama, Romance, Thriller",122.0,Crime,Drama,Romance,Thriller,,,,,4,1980,Average,Long
Das Boot,8.4,1981,R,Adventure,Wolfgang Petersen,Jürgen Prochnow,"Adventure, Drama, Thriller, War",150.5,Adventure,Drama,Thriller,War,,,,,4,1980,Excellent,Long
The Pursuit of D.B. Cooper,5.7,1981,PG,Adventure,Roger Spottiswoode,Robert Duvall,"Adventure, Crime, Thriller",100.0,Adventure,Crime,Thriller,,,,,,3,1980,Average,Medium
History of the World: Part I,6.9,1981,R,Comedy,Mel Brooks,Madeline Kahn,Comedy,92.0,Comedy,,,,,,,,1,1980,Average,Medium
Stripes,6.9,1981,R,Action,Ivan Reitman,Bill Murray,"Action, Comedy, War",117.0,Action,Comedy,War,,,,,,3,1980,Average,Medium
Heartbeeps,4.2,1981,PG,Comedy,Allan Arkush,Bernadette Peters,"Comedy, Sci-Fi",78.0,Comedy,Sci-Fi,,,,,,,2,1980,Poor,Short
Sphinx,5.2,1981,PG,Adventure,Franklin J. Schaffner,Frank Langella,"Adventure, Mystery, Thriller",118.0,Adventure,Mystery,Thriller,,,,,,3,1980,Average,Medium
Heavy Metal,6.7,1981,R,Adventure,Gerald Potterton,John Vernon,"Adventure, Animation, Fantasy, Horror, Sci-Fi",90.0,Adventure,Animation,Fantasy,Horror,Sci-Fi,,,,5,1980,Average,Short
Modern Problems,5.0,1981,PG,Comedy,Ken Shapiro,Brian Doyle-Murray,"Comedy, Fantasy, Sci-Fi",93.0,Comedy,Fantasy,Sci-Fi,,,,,,3,1980,Poor,Medium
The Four Seasons,7.2,1981,PG,Comedy,Alan Alda,Rita Moreno,"Comedy, Drama",107.0,Comedy,Drama,,,,,,,2,1980,Good,Medium
Escape from New York,7.2,1981,R,Action,John Carpenter,Donald Pleasence,"Action, Sci-Fi",106.0,Action,Sci-Fi,,,,,,,2,1980,Good,Medium
Chariots of Fire,7.2,1981,PG,Biography,Hugh Hudson,Alice Krige,"Biography, Drama, Sport",125.0,Biography,Drama,Sport,,,,,,3,1980,Good,Long
Mommie Dearest,6.7,1981,R,Biography,Frank Perry,Faye Dunaway,"Biography, Drama",129.0,Biography,Drama,,,,,,,2,1980,Average,Long
Nighthawks,6.4,1981,R,Action,Bruce Malmuth,Sylvester Stallone,"Action, Crime, Thriller",99.0,Action,Crime,Thriller,,,,,,3,1980,Average,Medium
Porkys,6.2,1981,R,Comedy,Bob Clark,Art Hindle,Comedy,94.0,Comedy,,,,,,,,1,1980,Average,Medium
Mad Max 2: The Road Warrior,7.6,1981,R,Action,George Miller,Vernon Wells,"Action, Adventure, Sci-Fi, Thriller",87.0,Action,Adventure,Sci-Fi,Thriller,,,,,4,1980,Good,Short
Friday the 13th Part 2,6.1,1981,R,Horror,Steve Miner,Betsy Palmer,"Horror, Mystery, Thriller",87.0,Horror,Mystery,Thriller,,,,,,3,1980,Average,Short
The Howling,6.6,1981,R,Horror,Joe Dante,Patrick Macnee,Horror,91.0,Horror,,,,,,,,1,1980,Average,Medium
The Beyond,6.9,1981,X,Horror,Lucio Fulci,Catriona MacColl,Horror,82.0,Horror,,,,,,,,1,1980,Average,Short
The Evil Dead,7.6,1981,NC-17,Fantasy,Sam Raimi,Ted Raimi,"Fantasy, Horror",96.0,Fantasy,Horror,,,,,,,2,1980,Good,Medium
Graduation Day,4.5,1981,R,Horror,Herb Freed,Linnea Quigley,"Horror, Mystery",96.0,Horror,Mystery,,,,,,,2,1980,Poor,Medium
Conan the Barbarian,6.9,1982,R,Adventure,John Milius,William Smith,"Adventure, Fantasy",129.0,Adventure,Fantasy,,,,,,,2,1980,Average,Long
Creepshow,6.9,1982,R,Comedy,George A. Romero,Ted Danson,"Comedy, Fantasy, Horror",130.0,Comedy,Fantasy,Horror,,,,,,3,1980,Average,Long
First Blood,7.7,1982,R,Action,Ted Kotcheff,Sylvester Stallone,"Action, Adventure, Drama",93.0,Action,Adventure,Drama,,,,,,3,1980,Good,Medium
The Thing,8.2,1982,R,Horror,John Carpenter,Wilford Brimley,"Horror, Mystery, Sci-Fi",109.0,Horror,Mystery,Sci-Fi,,,,,,3,1980,Excellent,Medium
Poltergeist,7.4,1982,PG,Fantasy,Tobe Hooper,Heather O'Rourke,"Fantasy, Horror",120.0,Fantasy,Horror,,,,,,,2,1980,Good,Medium
Blade Runner,8.2,1982,R,Sci-Fi,Ridley Scott,Harrison Ford,"Sci-Fi, Thriller",117.0,Sci-Fi,Thriller,,,,,,,2,1980,Excellent,Medium
Gandhi,8.1,1982,PG,Biography,Richard Attenborough,Candice Bergen,"Biography, Drama, History",150.5,Biography,Drama,History,,,,,,3,1980,Excellent,Long
Firefox,5.9,1982,PG,Action,Clint Eastwood,Clint Eastwood,"Action, Adventure, Thriller",136.0,Action,Adventure,Thriller,,,,,,3,1980,Average,Long
The Best Little Whorehouse in Texas,5.8,1982,R,Comedy,Colin Higgins,Dolly Parton,"Comedy, Musical",114.0,Comedy,Musical,,,,,,,2,1980,Average,Medium
Megaforce,3.5,1982,PG,Action,Hal Needham,Barry Bostwick,"Action, Sci-Fi",99.0,Action,Sci-Fi,,,,,,,2,1980,Poor,Medium
The Verdict,7.8,1982,R,Drama,Sidney Lumet,Charlotte Rampling,Drama,129.0,Drama,,,,,,,,1,1980,Good,Long
Tootsie,7.4,1982,PG,Comedy,Sydney Pollack,Bill Murray,"Comedy, Drama, Romance",116.0,Comedy,Drama,Romance,,,,,,3,1980,Good,Medium
Cat People,6.1,1982,R,Fantasy,Paul Schrader,Ed Begley Jr.,"Fantasy, Horror, Thriller",93.0,Fantasy,Horror,Thriller,,,,,,3,1980,Average,Medium
Star Trek II: The Wrath of Khan,7.7,1982,PG,Action,Nicholas Meyer,Leonard Nimoy,"Action, Adventure, Sci-Fi",116.0,Action,Adventure,Sci-Fi,,,,,,3,1980,Good,Medium
E.T. the Extra-Terrestrial,7.9,1982,PG,Family,Steven Spielberg,Henry Thomas,"Family, Sci-Fi",120.0,Family,Sci-Fi,,,,,,,2,1980,Good,Medium
The Man from Snowy River,7.3,1982,PG,Adventure,George Miller,Tony Bonner,"Adventure, Drama, Family, Romance, Western",102.0,Adventure,Drama,Family,Romance,Western,,,,5,1980,Good,Medium
Diner,7.2,1982,R,Comedy,Barry Levinson,Steve Guttenberg,"Comedy, Drama",110.0,Comedy,Drama,,,,,,,2,1980,Good,Medium
The Beastmaster,6.2,1982,PG,Action,Don Coscarelli,Vanna Bonta,"Action, Adventure, Fantasy",90.0,Action,Adventure,Fantasy,,,,,,3,1980,Average,Short
Jekyll and Hyde... Together Again,6.2,1982,R,Comedy,Jerry Belson,Cassandra Peterson,"Comedy, Music, Sci-Fi",87.0,Comedy,Music,Sci-Fi,,,,,,3,1980,Average,Short
Fast Times at Ridgemont High,7.2,1982,X,Comedy,Amy Heckerling,Jennifer Jason Leigh,"Comedy, Drama",90.0,Comedy,Drama,,,,,,,2,1980,Good,Short
Class of 1984,6.6,1982,R,Action,Mark L. Lester,Roddy McDowall,"Action, Crime, Drama, Thriller",98.0,Action,Crime,Drama,Thriller,,,,,4,1980,Average,Medium
Halloween III: Season of the Witch,4.6,1982,R,Horror,Tommy Lee Wallace,Tom Atkins,"Horror, Mystery, Sci-Fi",98.0,Horror,Mystery,Sci-Fi,,,,,,3,1980,Poor,Medium
Friday the 13th Part III,5.7,1982,R,Horror,Steve Miner,Richard Brooker,"Horror, Thriller",91.0,Horror,Thriller,,,,,,,2,1980,Average,Medium
The Ballad of Gregorio Cortez,7.1,1982,R,Western,Robert M. Young,Barry Corbin,Western,105.0,Western,,,,,,,,1,1980,Good,Medium
Butterfly,4.5,1982,R,Crime,Matt Cimber,Stacy Keach,"Crime, Drama",108.0,Crime,Drama,,,,,,,2,1980,Poor,Medium
Superman III,4.9,1983,PG,Action,Richard Lester,Margot Kidder,"Action, Comedy, Sci-Fi",125.0,Action,Comedy,Sci-Fi,,,,,,3,1980,Poor,Long
Never Say Never Again,6.2,1983,PG,Action,Irvin Kershner,Bernie Casey,"Action, Adventure, Thriller",121.0,Action,Adventure,Thriller,,,,,,3,1980,Average,Long
Krull,6.0,1983,PG,Action,Peter Yates,Liam Neeson,"Action, Adventure, Fantasy",116.0,Action,Adventure,Fantasy,,,,,,3,1980,Average,Medium
Star Wars: Episode VI - Return of the Jedi,8.4,1983,PG,Action,Richard Marquand,Harrison Ford,"Action, Adventure, Fantasy, Sci-Fi",134.0,Action,Adventure,Fantasy,Sci-Fi,,,,,4,1980,Excellent,Long
Octopussy,6.6,1983,PG,Action,John Glen,Louis Jourdan,"Action, Adventure, Thriller",131.0,Action,Adventure,Thriller,,,,,,3,1980,Average,Long
The Right Stuff,7.9,1983,PG,Adventure,Philip Kaufman,Dennis Quaid,"Adventure, Drama, History",150.5,Adventure,Drama,History,,,,,,3,1980,Good,Long
Scarface,8.3,1983,R,Crime,Brian De Palma,Al Pacino,"Crime, Drama",142.0,Crime,Drama,,,,,,,2,1980,Excellent,Long
National Lampoons Vacation,7.4,1983,R,Adventure,Harold Ramis,Beverly D'Angelo,"Adventure, Comedy",98.0,Adventure,Comedy,,,,,,,2,1980,Good,Medium
WarGames,7.1,1983,PG,Sci-Fi,John Badham,Matthew Broderick,"Sci-Fi, Thriller",114.0,Sci-Fi,Thriller,,,,,,,2,1980,Good,Medium
Yentl,6.6,1983,PG,Drama,Barbra Streisand,Miriam Margolyes,"Drama, Musical, Romance",132.0,Drama,Musical,Romance,,,,,,3,1980,Average,Long
Twilight Zone: The Movie,6.5,1983,PG,Fantasy,Joe Dante,Albert Brooks,"Fantasy, Horror, Sci-Fi",101.0,Fantasy,Horror,Sci-Fi,,,,,,3,1980,Average,Medium
The Outsiders,7.2,1983,PG-13,Crime,Francis Ford Coppola,Tom Cruise,"Crime, Drama",114.0,Crime,Drama,,,,,,,2,1980,Good,Medium
Trading Places,7.5,1983,R,Comedy,John Landis,Don Ameche,Comedy,116.0,Comedy,,,,,,,,1,1980,Good,Medium
The Wicked Lady,4.0,1983,R,Adventure,Michael Winner,Faye Dunaway,"Adventure, Drama",98.0,Adventure,Drama,,,,,,,2,1980,Poor,Medium
Flashdance,6.1,1983,R,Drama,Adrian Lyne,Michael Nouri,"Drama, Music, Romance",95.0,Drama,Music,Romance,,,,,,3,1980,Average,Medium
Losin It,4.8,1983,R,Comedy,Curtis Hanson,Tom Cruise,"Comedy, Drama, Family",100.0,Comedy,Drama,Family,,,,,,3,1980,Poor,Medium
Videodrome,7.3,1983,R,Horror,David Cronenberg,Debbie Harry,"Horror, Mystery, Sci-Fi, Thriller",89.0,Horror,Mystery,Sci-Fi,Thriller,,,,,4,1980,Good,Short
Lone Wolf McQuade,6.3,1983,PG,Action,Steve Carver,David Carradine,"Action, Crime, Drama, Thriller, Western",107.0,Action,Crime,Drama,Thriller,Western,,,,5,1980,Average,Medium
A Christmas Story,8.1,1983,PG,Comedy,Bob Clark,Zack Ward,"Comedy, Family",94.0,Comedy,Family,,,,,,,2,1980,Excellent,Medium
Love Letters,6.1,1983,R,Drama,Amy Holden Jones,Jamie Lee Curtis,"Drama, Romance",88.0,Drama,Romance,,,,,,,2,1980,Average,Short
Gabriela,6.4,1983,R,Comedy,Bruno Barreto,Marcello Mastroianni,"Comedy, Drama, Romance",99.0,Comedy,Drama,Romance,,,,,,3,1980,Average,Medium
Red Dawn,6.4,1984,PG-13,Action,John Milius,Lea Thompson,"Action, Drama, War",114.0,Action,Drama,War,,,,,,3,1980,Average,Medium
The Cotton Club,6.5,1984,R,Crime,Francis Ford Coppola,Nicolas Cage,"Crime, Drama, Music",123.0,Crime,Drama,Music,,,,,,3,1980,Average,Long
Dune,6.6,1984,PG-13,Action,David Lynch,Virginia Madsen,"Action, Adventure, Sci-Fi",150.5,Action,Adventure,Sci-Fi,,,,,,3,1980,Average,Long
The Karate Kid,7.2,1984,PG,Action,John G. Avildsen,Martin Kove,"Action, Drama, Family, Sport",126.0,Action,Drama,Family,Sport,,,,,4,1980,Good,Long
A Nightmare on Elm Street,7.5,1984,X,Horror,Wes Craven,Johnny Depp,Horror,101.0,Horror,,,,,,,,1,1980,Good,Medium
Once Upon a Time in America,8.4,1984,R,Crime,Sergio Leone,Robert De Niro,"Crime, Drama",150.5,Crime,Drama,,,,,,,2,1980,Excellent,Long
Indiana Jones and the Temple of Doom,7.6,1984,PG,Action,Steven Spielberg,Harrison Ford,"Action, Adventure",118.0,Action,Adventure,,,,,,,2,1980,Good,Medium
A Passage to India,7.4,1984,PG,Adventure,David Lean,Richard Wilson,"Adventure, Drama, History",150.5,Adventure,Drama,History,,,,,,3,1980,Good,Long
The NeverEnding Story,7.4,1984,PG,Adventure,Wolfgang Petersen,Gerald McRaney,"Adventure, Drama, Family, Fantasy",94.0,Adventure,Drama,Family,Fantasy,,,,,4,1980,Good,Medium
Sheena,4.8,1984,PG,Adventure,John Guillermin,Tanya Roberts,"Adventure, Fantasy",117.0,Adventure,Fantasy,,,,,,,2,1980,Poor,Medium
Footloose,6.5,1984,PG,Drama,Herbert Ross,Dianne Wiest,"Drama, Music, Romance",107.0,Drama,Music,Romance,,,,,,3,1980,Average,Medium
The Bounty,7.0,1984,PG,Action,Roger Donaldson,Liam Neeson,"Action, Adventure, Drama, History, Romance",132.0,Action,Adventure,Drama,History,Romance,,,,5,1980,Average,Long
Star Trek III: The Search for Spock,6.6,1984,PG,Action,Leonard Nimoy,Leonard Nimoy,"Action, Adventure, Sci-Fi",105.0,Action,Adventure,Sci-Fi,,,,,,3,1980,Average,Medium
Amadeus,8.3,1984,R,Biography,Milos Forman,Jeffrey Jones,"Biography, Drama, History, Music",150.5,Biography,Drama,History,Music,,,,,4,1980,Excellent,Long
Conan the Destroyer,5.8,1984,PG,Action,Richard Fleischer,Mako,"Action, Adventure, Fantasy",103.0,Action,Adventure,Fantasy,,,,,,3,1980,Average,Medium
Beverly Hills Cop,7.3,1984,R,Action,Martin Brest,Judge Reinhold,"Action, Comedy, Crime",105.0,Action,Comedy,Crime,,,,,,3,1980,Good,Medium
Firestarter,6.0,1984,R,Action,Mark L. Lester,Heather Locklear,"Action, Horror, Sci-Fi, Thriller",114.0,Action,Horror,Sci-Fi,Thriller,,,,,4,1980,Average,Medium
Gremlins,7.2,1984,PG,Comedy,Joe Dante,Phoebe Cates,"Comedy, Fantasy, Horror",106.0,Comedy,Fantasy,Horror,,,,,,3,1980,Good,Medium
Body Double,6.8,1984,R,Mystery,Brian De Palma,Melanie Griffith,"Mystery, Thriller",114.0,Mystery,Thriller,,,,,,,2,1980,Average,Medium
The Ice Pirates,5.7,1984,PG,Action,Stewart Raffill,Anjelica Huston,"Action, Adventure, Comedy, Romance, Sci-Fi",91.0,Action,Adventure,Comedy,Romance,Sci-Fi,,,,5,1980,Average,Medium
Splash,6.2,1984,PG,Comedy,Ron Howard,Tom Hanks,"Comedy, Fantasy, Romance",111.0,Comedy,Fantasy,Romance,,,,,,3,1980,Average,Medium
The Hotel New Hampshire,6.0,1984,R,Comedy,Tony Richardson,Joely Richardson,"Comedy, Drama, Romance",109.0,Comedy,Drama,Romance,,,,,,3,1980,Average,Medium
The Terminator,8.1,1984,R,Action,James Cameron,Michael Biehn,"Action, Sci-Fi",107.0,Action,Sci-Fi,,,,,,,2,1980,Excellent,Medium
Police Academy,6.7,1984,R,Comedy,Hugh Wilson,Steve Guttenberg,Comedy,96.0,Comedy,,,,,,,,1,1980,Average,Medium
Friday the 13th: The Final Chapter,5.9,1984,R,Horror,Joseph Zito,Judie Aronson,"Horror, Thriller",97.0,Horror,Thriller,,,,,,,2,1980,Average,Medium
Repo Man,6.9,1984,R,Comedy,Alex Cox,Del Zamora,"Comedy, Crime, Sci-Fi, Thriller",92.0,Comedy,Crime,Sci-Fi,Thriller,,,,,4,1980,Average,Medium
C.H.U.D.,5.5,1984,R,Horror,Douglas Cheek,Daniel Stern,"Horror, Sci-Fi",96.0,Horror,Sci-Fi,,,,,,,2,1980,Average,Medium
The Toxic Avenger,6.2,1984,UNRATED,Action,Michael Herz,Patrick Kilpatrick,"Action, Comedy, Horror, Sci-Fi",91.0,Action,Comedy,Horror,Sci-Fi,,,,,4,1980,Average,Medium
Rambo: First Blood Part II,6.4,1985,R,Action,George P. Cosmatos,Sylvester Stallone,"Action, Adventure, Thriller, War",96.0,Action,Adventure,Thriller,War,,,,,4,1980,Average,Medium
Out of Africa,7.2,1985,PG,Biography,Sydney Pollack,Meryl Streep,"Biography, Drama, Romance",150.5,Biography,Drama,Romance,,,,,,3,1980,Good,Long
A View to a Kill,6.3,1985,PG,Action,John Glen,Patrick Macnee,"Action, Adventure, Thriller",131.0,Action,Adventure,Thriller,,,,,,3,1980,Average,Long
Return to Oz,6.7,1985,PG,Adventure,Walter Murch,Piper Laurie,"Adventure, Family, Fantasy, Horror, Mystery",109.0,Adventure,Family,Fantasy,Horror,Mystery,,,,5,1980,Average,Medium
Silverado,7.2,1985,PG-13,Action,Lawrence Kasdan,Scott Glenn,"Action, Crime, Drama, Western",133.0,Action,Crime,Drama,Western,,,,,4,1980,Good,Long
Lifeforce,6.1,1985,R,Action,Tobe Hooper,Frank Finlay,"Action, Horror, Sci-Fi, Thriller",101.0,Action,Horror,Sci-Fi,Thriller,,,,,4,1980,Average,Medium
Ladyhawke,7.0,1985,PG-13,Adventure,Richard Donner,Matthew Broderick,"Adventure, Comedy, Drama, Fantasy",121.0,Adventure,Comedy,Drama,Fantasy,,,,,4,1980,Average,Long
Back to the Future,8.5,1985,PG,Adventure,Robert Zemeckis,Lea Thompson,"Adventure, Comedy, Sci-Fi",116.0,Adventure,Comedy,Sci-Fi,,,,,,3,1980,Excellent,Medium
Young Sherlock Holmes,6.8,1985,PG-13,Adventure,Barry Levinson,Nicholas Rowe,"Adventure, Fantasy, Mystery, Thriller",109.0,Adventure,Fantasy,Mystery,Thriller,,,,,4,1980,Average,Medium
Day of the Dead,7.2,1985,UNRATED,Horror,George A. Romero,Greg Nicotero,Horror,87.0,Horror,,,,,,,,1,1980,Good,Short
Red Sonja,5.0,1985,PG-13,Action,Richard Fleischer,Ernie Reyes Jr.,"Action, Adventure, Fantasy",89.0,Action,Adventure,Fantasy,,,,,,3,1980,Poor,Short
The Color Purple,7.8,1985,PG-13,Drama,Steven Spielberg,Oprah Winfrey,Drama,150.5,Drama,,,,,,,,1,1980,Good,Long
Brazil,8.0,1985,R,Drama,Terry Gilliam,Robert De Niro,"Drama, Sci-Fi",142.0,Drama,Sci-Fi,,,,,,,2,1980,Good,Long
Witness,7.4,1985,R,Crime,Peter Weir,Harrison Ford,"Crime, Drama, Romance, Thriller",112.0,Crime,Drama,Romance,Thriller,,,,,4,1980,Good,Medium
Mad Max Beyond Thunderdome,6.2,1985,PG-13,Action,George Miller,Tina Turner,"Action, Adventure, Sci-Fi, Thriller",107.0,Action,Adventure,Sci-Fi,Thriller,,,,,4,1980,Average,Medium
Commando,6.7,1985,R,Action,Mark L. Lester,Bill Duke,"Action, Adventure, Thriller",75.0,Action,Adventure,Thriller,,,,,,3,1980,Average,Short
The Last Dragon,6.9,1985,PG-13,Action,Michael Schultz,Mike Starr,"Action, Comedy, Drama, Music",109.0,Action,Comedy,Drama,Music,,,,,4,1980,Average,Medium
Invasion U.S.A.,5.3,1985,R,Action,Joseph Zito,Billy Drago,"Action, Thriller",107.0,Action,Thriller,,,,,,,2,1980,Average,Medium
Pale Rider,7.3,1985,R,Western,Clint Eastwood,Clint Eastwood,Western,115.0,Western,,,,,,,,1,1980,Good,Medium
The Return of the Living Dead,7.3,1985,R,Comedy,Dan O'Bannon,Linnea Quigley,"Comedy, Horror, Sci-Fi",108.0,Comedy,Horror,Sci-Fi,,,,,,3,1980,Good,Medium
A Nightmare on Elm Street 2: Freddys Revenge,5.4,1985,R,Fantasy,Jack Sholder,Clu Gulager,"Fantasy, Horror",87.0,Fantasy,Horror,,,,,,,2,1980,Average,Short
A Room with a View,7.4,1985,UNRATED,Drama,James Ivory,Julian Sands,"Drama, Romance",117.0,Drama,Romance,,,,,,,2,1980,Good,Medium
Krush Groove,6.6,1985,R,Comedy,Michael Schultz,Blair Underwood,"Comedy, Drama, Music",97.0,Comedy,Drama,Music,,,,,,3,1980,Average,Medium
Friday the 13th: A New Beginning,4.7,1985,R,Horror,Danny Steinmann,Tiffany Helm,"Horror, Mystery, Thriller",92.0,Horror,Mystery,Thriller,,,,,,3,1980,Poor,Medium
Subway,6.5,1985,R,Comedy,Luc Besson,Christopher Lambert,"Comedy, Drama, Thriller",98.0,Comedy,Drama,Thriller,,,,,,3,1980,Average,Medium
Def-Con 4,4.3,1985,R,Action,Paul Donovan,Maury Chaykin,"Action, Sci-Fi",88.0,Action,Sci-Fi,,,,,,,2,1980,Poor,Short
My Beautiful Laundrette,6.9,1985,R,Comedy,Stephen Frears,Saeed Jaffrey,"Comedy, Drama, Romance",97.0,Comedy,Drama,Romance,,,,,,3,1980,Average,Medium
Legal Eagles,5.9,1986,PG,Comedy,Ivan Reitman,Brian Dennehy,"Comedy, Crime, Romance",116.0,Comedy,Crime,Romance,,,,,,3,1980,Average,Medium
Little Shop of Horrors,6.9,1986,PG-13,Comedy,Frank Oz,Bill Murray,"Comedy, Horror, Musical, Sci-Fi",102.0,Comedy,Horror,Musical,Sci-Fi,,,,,4,1980,Average,Medium
Howard the Duck,4.6,1986,PG,Action,Willard Huyck,Lea Thompson,"Action, Adventure, Comedy, Romance, Sci-Fi",110.0,Action,Adventure,Comedy,Romance,Sci-Fi,,,,5,1980,Poor,Medium
Big Trouble in Little China,7.3,1986,PG-13,Action,John Carpenter,Victor Wong,"Action, Adventure, Comedy, Fantasy",99.0,Action,Adventure,Comedy,Fantasy,,,,,4,1980,Good,Medium
