movie_title,imdb_score,title_year,content_rating,main_genre,director_name,star_cast,genres,duration,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_count,decade,imdb_category,duration_category
Spirit Halloween,4.6,2022,TV-14,Adventure,David Poag,Donovan Colan,"Adventure, Family, Fantasy",87.0,Adventure,Family,Fantasy,,,,,,3,2020,Poor,Short
Lost  Found,5.4,2016,PG,Adventure,Joseph Itaya,Justin Kelly,"Adventure, Drama, Family",90.0,Adventure,Drama,Family,,,,,,3,2010,Average,Short
Nightbooks,5.8,2021,TV-PG,Family,David Yarovesky,Winslow Fegley,"Family, Fantasy, Horror",103.0,Family,Fantasy,Horror,,,,,,3,2020,Average,Medium
The Trouble with Angels,7.3,1966,PG,Comedy,Ida Lupino,Rosalind Russell,"Comedy, Family",112.0,Comedy,Family,,,,,,,2,1960,Good,Medium
The Apple Dumpling Gang,6.4,1975,G,Comedy,Norman Tokar,Bill Bixby,"Comedy, Family, Western",100.0,Comedy,Family,Western,,,,,,3,1970,Average,Medium
Dedh Bigha Zameen,7.0,2024,PG,Drama,Pulkit,Prasanna Bisht,"Drama, Family",100.0,Drama,Family,,,,,,,2,2020,Average,Medium
The Red Turtle,7.5,2016,PG,Animation,Michael Dudok de Wit,Emmanuel Garijo,"Animation, Drama, Family",80.0,Animation,Drama,Family,,,,,,3,2010,Good,Short
Steven Universe: The Movie,7.7,2019,TV-PG,Animation,Rebecca Sugar,Zach Callison,"Animation, Action, Adventure",82.0,Animation,Action,Adventure,,,,,,3,2010,Good,Short
Where Time Began,4.8,1977,PG,Adventure,Juan Piquer Simón,Kenneth More,"Adventure, Family, Sci-Fi",87.0,Adventure,Family,Sci-Fi,,,,,,3,1970,Poor,Short
100 Wolf,5.6,2020,PG,Animation,Alexs Stadermann,Loren Gray,"Animation, Adventure, Comedy",96.0,Animation,Adventure,Comedy,,,,,,3,2020,Average,Medium
Everyones Hero,5.7,2006,G,Animation,Colin Brady,Jake T. Austin,"Animation, Adventure, Comedy",87.0,Animation,Adventure,Comedy,,,,,,3,2000,Average,Short
Tarzan,4.8,2013,PG,Animation,Reinhard Klooss,Kellan Lutz,"Animation, Action, Adventure",94.0,Animation,Action,Adventure,,,,,,3,2010,Poor,Medium
The Magicians Elephant,6.6,2023,PG,Animation,Wendy Rogers,Noah Jupe,"Animation, Adventure, Comedy",99.0,Animation,Adventure,Comedy,,,,,,3,2020,Average,Medium
Stand by Me Doraemon 2,7.5,2020,NOT RATED,Animation,Ryuichi Yagi,Bakarhythm,"Animation, Comedy, Drama",96.0,Animation,Comedy,Drama,,,,,,3,2020,Good,Medium
Nadanna Sambhavam,7.3,2024,PG,Drama,Vishnu Narayan,Biju Menon,"Drama, Family, Thriller",100.0,Drama,Family,Thriller,,,,,,3,2020,Good,Medium
Life with Father,7.1,1947,APPROVED,Comedy,Michael Curtiz,William Powell,"Comedy, Family",118.0,Comedy,Family,,,,,,,2,1940,Good,Medium
I Believe,5.6,2017,G,Drama,Juergen Peretzki,Rowan Smyth,"Drama, Family, Fantasy",89.0,Drama,Family,Fantasy,,,,,,3,2010,Average,Short
Spirit Untamed,5.5,2021,PG,Animation,Elaine Bogan,Isabela Merced,"Animation, Adventure, Comedy",88.0,Animation,Adventure,Comedy,,,,,,3,2020,Average,Short
Godzilla vs. Mechagodzilla,6.2,1974,PG,Animation,Jun Fukuda,Masaaki Daimon,"Animation, Action, Adventure",84.0,Animation,Action,Adventure,,,,,,3,1970,Average,Short
